created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 22 23:28:10 +0000 2023;1727469048349512148;"Jangan kendor, ayo yg mutualan, like dn rettwitnya mana, jangan dikira kubu sebelah hujtan makian hinaan bakalan membuat lemah paslon 02, kita menangkan #PrabowoGibran2024 satu putaran";0;1;1;3;in;1709123175450288128;1727469048349512148;mas_veel;https://twitter.com/mas_veel/status/1727469048349512148
Wed Nov 22 23:16:55 +0000 2023;1727466214765826241;"@AndreasSolusi @wiena_kinasih @bentangnegeri @xquitavee @PS_presiden2024 @VaniaKiara3002 @Lembayung071 @gtobing2903 @OppungTp @YoYoAyo17845 Sabar ya 🫰🌹 Selamat PA-GI semua   #PrabowoGibran2024 #SayaBersamaJokowi https://t.co/UuP8hLElVu";1;1;0;2;in;1296717077001064448;1727264298416910766;NkriLentera;https://twitter.com/NkriLentera/status/1727466214765826241
Wed Nov 22 23:15:33 +0000 2023;1727465871973761420;"@sondoyono44558 @prabowo @gibran_tweet @SudaryonoSudar @Gerindra Syukuran. Selamat PA-GI 🫰🌹 #PrabowoGibranIstimewa #PrabowoGibran2024 https://t.co/fhALqOjQAC";0;1;0;0;in;1296717077001064448;1727291327866695776;NkriLentera;https://twitter.com/NkriLentera/status/1727465871973761420
Wed Nov 22 22:33:14 +0000 2023;1727455224217112918;"Prabowo Subianto dan Gibran Rakabuming Raka berkomitmen melanjutkan pembangunan IKN. Dengan demikian, segala tahapan pembangunan IKN yang telah dimulai era Pemerintahan Presiden Jokowi tak akan terbengkalai.  #PrabowoGibranMakinDiDepan #PrabowoGibran2024 @gibran_tweet @prabowo https://t.co/vMwOdIxksl";1;1;5;4;in;322559270;1727455224217112918;Clara_Shinta99;https://twitter.com/Clara_Shinta99/status/1727455224217112918
Wed Nov 22 22:28:52 +0000 2023;1727454124864889058;"Pada Januari 2014 Badan Eksekutif Mahasiswa (BEM) Jurusan Komunikasi &amp  Penyiaran Islam (KPI) bersama Dewan Mahasiswa Universitas Islam Negri Sunan Gunung Djati Bandung menyelenggarakan sebuah bedah buku “Anak-anak Revolusi” karya   @budimandjatmiko #PrabowoGibran2024 https://t.co/DXP9q6rrEI";0;13;10;29;in;1331503267814072320;1727454124864889058;Minietweets_;https://twitter.com/Minietweets_/status/1727454124864889058
Wed Nov 22 19:23:21 +0000 2023;1727407439828730142;"Luar biasa 👍👍 Terma Kasih Warga Klaten ..Lanjut #PrabowoGibran2024 https://t.co/cRKvi1w3ax";0;2;0;1;in;162023248;1727407439828730142;kadrunbengal;https://twitter.com/kadrunbengal/status/1727407439828730142
Wed Nov 22 17:33:27 +0000 2023;1727379778670678485;"Assalamualikum met malam temen-teman yuk sesama akun2 pendukung #PrabowoGibran2024 kita saling follow agar makin kompak dan akun2 yang folower masih sedikit biar lebih tangguh dan ga mudah batuk   Intinya kita harus kompak yang besar harus kuatin akun2 kecil .. akun2 folower… https://t.co/mylYlaZr9o";2;127;62;224;in;576755999;1727379778670678485;bengkeldodo;https://twitter.com/bengkeldodo/status/1727379778670678485
Wed Nov 22 16:00:59 +0000 2023;1727356511528296760;"Indonesia Maju... Bahagia Rakyatnya.... Bersama... #PrabowoGibran2024";0;2;1;1;in;942688247175454720;1727356511528296760;Doap03;https://twitter.com/Doap03/status/1727356511528296760
Wed Nov 22 15:45:45 +0000 2023;1727352678093877372;"#GoodbyeKampanyeFitnah Masyarakat mau pemimpin yg sekelas MasBowo MasGIbran Top, karena negara saat ini tumbuh jadi negara yg besar dunia dan sejahtera. #prabowo #2024prabowopresiden #prabowopresiden2024 #prabowogibran2024 #nextpresidenri2024 #allinprabowo #Rabu #Ahok https://t.co/MhxydXbf34";0;2;0;0;in;1421943163;1727352678093877372;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1727352678093877372
Wed Nov 22 15:45:11 +0000 2023;1727352534237593875;"@Dennysiregar7 Gw juga ngerasa malu ngeliat orang yg menjual buku dgn menulis kisah beliau sekarang malah menghujatnya bahkan menyerang istrinya hanya karena dibayar oleh pihak lain!  Zombie adalah Manusia yang hatinya sudah mati!  #PrabowoGibran2024 https://t.co/qkF3akqjDA";1;2;0;0;in;349242483;1727167829194240065;SpionaseNKRI;https://twitter.com/SpionaseNKRI/status/1727352534237593875
Wed Nov 22 15:44:36 +0000 2023;1727352387395043463;"Mantapnya, apa yang MasBowo MasGIbran Top laksanakan itu semua keluar dari visinya yg mau Indonesia sejahtera dan diakui global. #prabowo #2024prabowopresiden #prabowopresiden2024 #2024prabowogibran #prabowogibran2024 #nextpresidenri2024 #allinprabowo #Rabu #Ahok https://t.co/OpVMZjaiPZ";0;1;0;0;in;1421943163;1727352387395043463;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1727352387395043463
Wed Nov 22 15:43:54 +0000 2023;1727352209850204564;"Bener sis, kita ingin pemimpin yang sekelas MasBowo MasGIbran Top, sebab Indonesia sedang menuju jadi negara yang besar dunia dan sejahtera. #prabowo #2024prabowopresiden #prabowopresiden2024 #2024prabowogibran #prabowogibran2024 #nextpresidenri2024 #allinprabowo #Rabu #Ahok https://t.co/mlJOiWmLsa";0;1;0;0;in;1421943163;1727352209850204564;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1727352209850204564
Wed Nov 22 15:38:52 +0000 2023;1727350943505846525;"MasBowo MasGIbran Top tidak pernah berhenti untuk terus dapat perhatikan masyarakat dgn maksimal, itu semua untuk bangsa. #prabowo #2024prabowopresiden #prabowopresiden2024 #2024prabowogibran #prabowogibran2024 #nextpresidenri2024 #allinprabowo #Rabu #Ahok https://t.co/Uods8iCkpb";0;2;0;0;in;1421943163;1727350943505846525;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1727350943505846525
Wed Nov 22 15:21:40 +0000 2023;1727346614443065376;"Kerennya, kita2 ingin pemimpin yang sekelas MasBowo MasGIbran Top, karena negara sekarang ini berkembang jadi bangsa yang besar dunia dan makmur. #prabowo #2024prabowopresiden #prabowopresiden2024 #2024prabowogibran #prabowogibran2024 #nextpresidenri2024 #allinprabowo #Rabu #Ahok https://t.co/Oy7tsrpehL";0;1;0;1;in;1421943163;1727346614443065376;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1727346614443065376
Wed Nov 22 15:03:33 +0000 2023;1727342056140599637;"@mpoklela7 @PS_presiden2024 @BANGSAygSUJUD @AndreasSolusi @Alie_Fahnoor @OppungTp @adri_7i @VaniaKiara3002 @cocolatetwo @are_inismyname @asepsofyanwci Hayu ngeus lila teu hayu ngagas deui  #PrabowoGibran2024";0;2;0;1;in;1667056879376429061;1727324689272598788;wlian76;https://twitter.com/wlian76/status/1727342056140599637
Wed Nov 22 15:02:06 +0000 2023;1727341694012846164;"Memang benar sih, masyarakat melihatnya gampang aja, masyarakat bisa buktikan cuma MasBowo MasGIbran Top yg bikin adem negeri ini. #prabowo #2024prabowopresiden #prabowopresiden2024 #prabowogibran2024 #nextpresidenri2024 #allinprabowo #prabowosubianto #Rabu #Ahok https://t.co/WaucOFR6Ld";0;1;0;0;in;1421943163;1727341694012846164;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1727341694012846164
Wed Nov 22 14:47:16 +0000 2023;1727337958804693482;"@kompascom Jika kesulitan dihadapi dengan aura negatif maka kesulitan itu terasa makin sulit, prabowo hadir dgn kegemoyan utk memberikan aura positif pada situasi yg dihadapi. #JogetinAja #PrabowoGibran2024 #GibranKaesang2029";0;0;0;0;in;1452797580035825667;1727333765503127985;bad_omens__;https://twitter.com/bad_omens__/status/1727337958804693482
Wed Nov 22 14:15:15 +0000 2023;1727329900233970101;"Jawaban yg pas dan mengena banget. Tanyakan aja langsung pada Cwapres pak Ganjar yakni pak Mahfud ,Krn dia adalah Menkopolhukam #prabowogibran2024 https://t.co/Y2J1WF3XPt";0;2;0;1;in;162023248;1727329900233970101;kadrunbengal;https://twitter.com/kadrunbengal/status/1727329900233970101
Wed Nov 22 14:10:00 +0000 2023;1727328578877227058;"Anak-anak muda Indonesia sangat berkepentingan dengan masa depan. Karena masa depan bangsa ini adalah milik para pemuda-pemudi Indonesia.  INDONESIA MAJU BERSAMA PRABOWO - GIBRAN 🫰🫰  Capres cawapres No Urut 2 ✌️🫰  #PrabowoGibran2024   Nite 🌆 https://t.co/5oleWAAwNP";8;31;23;52;in;1469280329093373956;1727328578877227058;putri_Aalona;https://twitter.com/putri_Aalona/status/1727328578877227058
Wed Nov 22 13:46:53 +0000 2023;1727322764879827321;"@7_13l4CK Sah apdesi bkn ASN hak mrk utk menjatuhkan pilihan pd #PrabowoGibran2024 via adu gagasan yg diaminkan oleh mrk vs Anies.";0;1;0;0;in;1506138031429861378;1727292157109903486;cocolatetwo;https://twitter.com/cocolatetwo/status/1727322764879827321
Wed Nov 22 13:37:50 +0000 2023;1727320483690066325;"Presiden RI  sedang berolahraga di biak🤣👏👏👏.    Ini adalah salah satu dampak kemenangan Gibran di pemilihan presiden karna orang Papua Sangat menghargai pak Jokowi #PrabowoGibran  #PrabowoGibran2024       Ini adalah salah satu pengaruh pak presiden di Papua🙏🙏♥️. https://t.co/tp5K9iOlpK";0;0;1;13;in;1264590295439556610;1727320483690066325;SaPapua19140740;https://twitter.com/SaPapua19140740/status/1727320483690066325
Wed Nov 22 13:33:27 +0000 2023;1727319383679308059;"@bangacoel @P4P4B0W0_2024 @Ndons_Back @Kimberley_2024 @are_inismyname @G0mb4k @kurawa @Bank_Joee_ @florieliciouss @AndreasSolusi @azissubekti Baik tuan paling bersih 🙏🙏#prabowogibran2024";0;0;0;0;in;576755999;1726923279779406069;bengkeldodo;https://twitter.com/bengkeldodo/status/1727319383679308059
Wed Nov 22 13:24:21 +0000 2023;1727317092125569200;"Mau tau kenapa Pak @SBYudhoyono mendukung Pak @prabowo jadi presiden?  #prabowosubianto #GibranRakabuming #prabowopresiden #PrabowoGibran2024 #indonesia #indonesian #viral #fyp #politik #ganjarpranowo #aniesbaswedan #pinterpolitik https://t.co/Ep2YU1RvO9";0;0;8;7;in;1579126996537290752;1727317092125569200;mypresidentid;https://twitter.com/mypresidentid/status/1727317092125569200
Wed Nov 22 13:08:35 +0000 2023;1727313122577506451;"@kumparan Mantap  #RK08 #PrabowoGibran2024";0;0;0;0;in;1667056879376429061;1727309246017200566;wlian76;https://twitter.com/wlian76/status/1727313122577506451
Wed Nov 22 12:47:20 +0000 2023;1727307775221682570;"Rumah murah buat invest kawasan citayam 195jt  #presidentinvaalit2024 #pemilu2024 #PrabowoGemoy #PrabowoGibranMakinDiDepan #gibran #PrabowoGibran2024  Hi, silahkan cek iklan listing ini ya https://t.co/sOtX463kfI";0;0;0;0;in;1688259077997281280;1727307775221682570;seftianmaul;https://twitter.com/seftianmaul/status/1727307775221682570
Wed Nov 22 12:35:38 +0000 2023;1727304834121072939;"Gass satu Putaran!  #prabowopresiden #PrabowoGibran2024 https://t.co/2qo7MeIp6K";0;0;0;0;in;1232377206657019904;1727304834121072939;Adipinto6;https://twitter.com/Adipinto6/status/1727304834121072939
Wed Nov 22 12:32:33 +0000 2023;1727304057017258355;"Spanduk nya lucuu 🫰  #PrabowoGemoy  #PrabowoGibran2024 https://t.co/Bfyynauo2b";4;72;44;151;in;1604408934525464576;1727304057017258355;xquitavee;https://twitter.com/xquitavee/status/1727304057017258355
Wed Nov 22 11:55:00 +0000 2023;1727294604805103742;"8. Pola Alur Drama : Mereka yang mulai, Mereka yang Marah-Marah, Mereka yang Teriak-Teriak Terzolimi dan Mereka pulak yang Nanti akan Memulai Perbuatan Pelanggaran lainnya"  Siklus berulang &amp  lihat saja kedepannya. #PrabowoGibran2024  Wartakota  https://t.co/K3O5RJfPBW";0;1;0;0;in;1296717077001064448;1727291327866695776;NkriLentera;https://twitter.com/NkriLentera/status/1727294604805103742
Wed Nov 22 11:53:55 +0000 2023;1727294333806916042;"7. Contoh : Drama Pembunuhan. Karakter MK lanjut ke Presiden Jokowi namun Gagal.  ACTA: Anwar Usman Sedang Jadi Korban Pembunuhan Karakter Sadis https://t.co/cXErGfHf00 #PrabowoGibran2024";0;2;0;0;in;1296717077001064448;1727291327866695776;NkriLentera;https://twitter.com/NkriLentera/status/1727294333806916042
Wed Nov 22 11:51:24 +0000 2023;1727293702358671729;"6. Yang boleh Berbuat Apapun Sesuka Hati di Negeri Ini Hanya "Banteng" yang lain sebelum Berbuat Wajib Ijin Banteng dulu. Jika Kecipratan Untung Banteng ACC, Jika Kagak Maka Banteng Bakalan Seruduk".  #PrabowoGibran2024";0;1;0;0;in;1296717077001064448;1727291327866695776;NkriLentera;https://twitter.com/NkriLentera/status/1727293702358671729
Wed Nov 22 11:49:00 +0000 2023;1727293095073747157;"Yuk mulai berbagi😊🌟 karena kebahagiaan tidak akan habis hanya karena anda membaginya. Ketahuilah, kebahagiaan bertambah ketika anda bersedia untuk berbagi✨ #prabowogibran2024 #prabowogibran #relawangibran #gibranrakabuming #kegiatankemanusiaan #ketahananpangan https://t.co/beeHC957bF";0;0;0;0;in;1717723551107842048;1727293095073747157;relawangibran;https://twitter.com/relawangibran/status/1727293095073747157
Wed Nov 22 11:42:01 +0000 2023;1727291341166801110;"5. Pihaknya, kata dia, mengingatkan kepada seluruh pihak agar kembali menjaga netralitas aparat negara. Terutama aparat sipil negara (ASN) #PrabowoGibran2024";0;1;0;0;in;1296717077001064448;1727291327866695776;NkriLentera;https://twitter.com/NkriLentera/status/1727291341166801110
Wed Nov 22 11:42:01 +0000 2023;1727291337630994584;"4. jelas Ronny Talapessy saat konferensi pers terkait Mobilisasi Aparat Desa di Media Center TPN Ganjar-Mahfud, di Rumah Cemara 19, Menteng, Jakarta Pusat, Senin, (20/11/2023). #PrabowoGibran2024";0;1;0;0;in;1296717077001064448;1727291327866695776;NkriLentera;https://twitter.com/NkriLentera/status/1727291337630994584
Wed Nov 22 11:42:00 +0000 2023;1727291334271344868;"3. "Kami dari TPN Ganjar-Mahfud sangat menyesalkan dan ini sudah jadi konsumsi media. Ini bukan acara silaturahmi tapi ini Kampanye. Ada yang pakai baju 02 dan itu terlihat jelas dan ada deklarasi dukungan,"  #PrabowoGibran2024";0;2;0;0;in;1296717077001064448;1727291327866695776;NkriLentera;https://twitter.com/NkriLentera/status/1727291334271344868
Wed Nov 22 11:41:59 +0000 2023;1727291330819416264;"2. Direktur Hukum Tim Pemenangan Nasional (TPN) Ganjar-Mahfud, Ronny Talapessy, mengatakan, TPN Ganjar-Mahfud menyesalkan peristiwa pengerahan massa perangkat desa mendukung salah satu calon presiden dan wakil presiden. #PrabowoGibran2024";0;1;0;0;in;1296717077001064448;1727291327866695776;NkriLentera;https://twitter.com/NkriLentera/status/1727291330819416264
Wed Nov 22 11:41:58 +0000 2023;1727291327866695776;"Kata Pak Jokowi, "Terlalu Banyak Drakormya, Senitronnya"  Judul Drama PDIP: "Tersanjung Kagak Malah Terbanting di Semua Survei"  Diam saat Paguyuban Kades Jatim Dukung Ganjar, Kini Tim Ganjar Protes Perangkat Desa Dukung Prabowo https://t.co/3menLSPsXp #PrabowoGibran2024 https://t.co/EFjOlgigq7";0;2;0;0;in;1296717077001064448;1727291327866695776;NkriLentera;https://twitter.com/NkriLentera/status/1727291327866695776
Wed Nov 22 11:41:13 +0000 2023;1727291139206815977;"@iso_tenanan Panic?  Jauhlah itu Brader. Oppung mu ini nothing to lose. Sudah kubilang dari sejak awal, siapapun nanti Presiden , kita harus akui dan terima. Tetapi dimasa Pertandingan ini, mari kita sama sama dukung Paslon kita dengan upaya maksimal dan elegan, karena #PrabowoGibran2024";0;1;0;0;in;1366617421;1726761304680174074;OppungTp;https://twitter.com/OppungTp/status/1727291139206815977
Wed Nov 22 11:27:17 +0000 2023;1727287633297248628;"Emang boleh sekeren ini?  #prabowosubianto #GibranRakabuming #prabowopresiden #PrabowoGibran2024 #indonesia #indonesian #viral #fyp #politik #ganjarpranowo #aniesbaswedan #pinterpolitik https://t.co/QbzKlnivhu";2;2;11;13;in;1579126996537290752;1727287633297248628;mypresidentid;https://twitter.com/mypresidentid/status/1727287633297248628
Wed Nov 22 11:20:13 +0000 2023;1727285853133906019;"bodo amat ga ada yg baca juga, tp beliau adalah panutan https://t.co/vrpU69P8j1 #Patriotprabowo #prabowosangperekat #prabowosatria #prabowopresiden #prabowo2024 #prabowogibran #prabowogemoy #prabowogibran2024 #indonesiamaju #indonesiaemas";0;0;0;0;in;264904458;1727285853133906019;SigridMihalik44;https://twitter.com/SigridMihalik44/status/1727285853133906019
Wed Nov 22 10:46:12 +0000 2023;1727277292144189581;""Dengan tujuan yang jelas, yaitu Indonesia Emas Negara yang setara dengan negara maju di tahun 2045 atau lebih cepat"  https://t.co/Xw2UhpFnHK #Patriotprabowo #prabowosangperekat #prabowosatria #prabowopresiden #prabowo2024 #prabowogibran #prabowogemoy #prabowogibran2024";0;0;0;0;in;1202496980;1727277292144189581;kickgirl2123;https://twitter.com/kickgirl2123/status/1727277292144189581
Wed Nov 22 10:43:54 +0000 2023;1727276714534007135;"Kata @prabowo kalo ada yang Fitnah &amp  ejek, senyumin aja! #prabowo #PrabowoGibran2024 #allinprabowo #PrabowoGibran #prabowopresiden https://t.co/FT1SHoxUe8";1;0;1;2;in;883972728;1727276714534007135;kirab_karib;https://twitter.com/kirab_karib/status/1727276714534007135
Wed Nov 22 10:20:12 +0000 2023;1727270751328477670;"jangan salah memilih pemimpin utk melanjutkan apa yg sudah susah payah dibangun Presiden @jokowi dalam dua periode masa jabatannya, termasuk hilirisasi yang paling utama. Untuk agenda besar ini, percayakan saja pada papa gemoy😍  #PrabowoGibran2024 https://t.co/rEfrFEgFqh";4;11;11;30;in;989495145077747714;1727270751328477670;LOVE_UM4M4;https://twitter.com/LOVE_UM4M4/status/1727270751328477670
Wed Nov 22 10:06:14 +0000 2023;1727267234001953210;"Sudah waktunya Sunny Tanuwidjaya siap2 membayar Alphard ke @datuakrajoangek   Demikian pula sudah waktunya @Dennysiregar7 cari uang 50 JT untuk bayar ke #AbuJanda  Dan @islah_bahrawi persiapkan diri ke Habitat semula sbg Direktur Panci Rombeng  #PrabowoGibran2024 https://t.co/dwuXSywlSw";1;0;9;13;in;1707296384347697152;1727267234001953210;icikiwir_08;https://twitter.com/icikiwir_08/status/1727267234001953210
Wed Nov 22 09:55:43 +0000 2023;1727264589862318127;"Pak @prabowo: kita semua bersaudara. Kerukunan adalah kunci kemajuan Indonesia.  #PrabowoGibran2024";0;0;2;4;in;886878090768424960;1727264589862318127;yosephrosario_;https://twitter.com/yosephrosario_/status/1727264589862318127
Wed Nov 22 09:38:58 +0000 2023;1727260372984586262;"#AniesMuhaimin2024 #Jokowinomics #PrabowoGemoy #PrabowoGibran2024 #GanjarMahfud2024 JANGAN GEMBENG AH..! Nasdem Ogah Koalisi Dengan PDIP: Kubu Anies Tolak Berkoalisi Dengan Semangat Kemarahan dan Kebencian https://t.co/kgHqvmSWB9 via @BERGELORA.COM";0;0;0;0;in;1284518394880864256;1727260372984586262;bergeloralah;https://twitter.com/bergeloralah/status/1727260372984586262
Wed Nov 22 09:38:51 +0000 2023;1727260345146974374;"Kita telah mempelajari sosok Prabowo sejak masih militer sampe sekarang jadi menteri. Dia itu tegas, bertanggung jawab dan berpengalaman. Warga Gemoy Siap Menangkan.   #PrabowoGemoy #PrabowoGibran #PrabowoGibranIstimewa #menangbersamarakyat #PrabowoGibran2024 #MenangSatuPutaran https://t.co/FKEuITzP1t";0;0;0;1;in;1717502796428435456;1727260345146974374;ilalangbuana_id;https://twitter.com/ilalangbuana_id/status/1727260345146974374
Wed Nov 22 09:33:13 +0000 2023;1727258923898654787;"Elektabilitas Prabowo Mulai Meroket Di Jateng Dan Kalangan Milenial!  #GoodbyeKampanyeFitnah AkusihPakbowo AdemSejuk  #PrabowoSubianto  #GibranRakabuming  #PrabowoGibran2024   Paslon Prabowo Subianto dan Gibran Rakabuming Raka meraih tingkat keterpilihan tertinggi di kalangan… https://t.co/IByHRRsybJ";3;138;32;109;in;886878090768424960;1727258923898654787;yosephrosario_;https://twitter.com/yosephrosario_/status/1727258923898654787
Wed Nov 22 09:24:57 +0000 2023;1727256843725193417;"Kamu bangga gak? Kalo aku sih yess✌👍💪😊❤🇮🇩 #PrabowoGibran2024  #PrabowoGibranMakinDiDepan https://t.co/EV9yQ1N5kL";0;1;3;5;in;1431026509427314690;1727256843725193417;BanyoeBiroe0708;https://twitter.com/BanyoeBiroe0708/status/1727256843725193417
Wed Nov 22 09:21:35 +0000 2023;1727255999512473626;"Calon Wakil Presiden Gibran Rakabuming Raka berencana menghadirkan kredit khusus perusahaan rintisan (startup) milenial. Gagasan tersebut muncul di tengah kondisi badai PHK di industri startup sejak 2022.   #PrabowoGibranMakinDiDepan  #PrabowoGibran2024  @gibran_tweet @prabowo https://t.co/M7kEOKQt2a";1;0;4;3;in;322559270;1727255999512473626;Clara_Shinta99;https://twitter.com/Clara_Shinta99/status/1727255999512473626
