created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 29 21:29:00 +0000 2023;1729975772532891743;"Kader Gerindra Grobogan bersatu untuk mengokohkan komitmen. Konsolidasi yang hangat ini adalah langkah strategis menuju peran lebih kuat, menjadi suara menginspirasi, dan solusi berarti bagi kemajuan Indonesia. Probowo-Gibran Bersama Indonesia Maju.  -DAR- #PrabowoGibran2024 https://t.co/5slyWsHacc";1;39;115;37;in;1450350445365395460;1729975772532891743;SudaryonoSudar;https://twitter.com/SudaryonoSudar/status/1729975772532891743
Wed Nov 29 21:18:24 +0000 2023;1729973107916784077;"#JokowiPrabowo Tokoh Nasionalisme tertinggi  Terimakasih pak #Jokowi yg telah memberikan ruang besar pada Prabowo untuk dapat menyalurkan Hasratnya menjadi bangsa mandiri   Sehingga tidak perlu lagi adanya sumber daya alam yg BOCOR dan mengalir ke luar negeri   #PrabowoGibran2024 https://t.co/fM6szTGu0R";0;0;1;6;in;1707296384347697152;1729973107916784077;icikiwir_08;https://twitter.com/icikiwir_08/status/1729973107916784077
Wed Nov 29 20:43:35 +0000 2023;1729964345956933958;"@mbienyambay Memajukan UMKM, membuka lapangan pekerjaan baru...sekali mendayung 2 3 pulau terlampaui ya Mbie✌👍💪🤗💟🐧 #PrabowoGibran2024 https://t.co/rPgbPBrmoC";0;1;1;2;in;1431026509427314690;1729846470394737017;BanyoeBiroe0708;https://twitter.com/BanyoeBiroe0708/status/1729964345956933958
Wed Nov 29 19:42:44 +0000 2023;1729949029944135791;"Kami Merasa Terhormat Menjadi Alat Untuk Kemakmuran Rakyat  #PrabowoGibran2024 https://t.co/SVWhliLUr2";1;3;19;34;in;1459675385134608390;1729949029944135791;djalanjoeang08;https://twitter.com/djalanjoeang08/status/1729949029944135791
Wed Nov 29 17:29:49 +0000 2023;1729915580780835287;"Mana nih yang belum gabung ke barisan Pak @prabowo ?  #prabowosubianto #GibranRakabuming #prabowopresiden #PrabowoGibran2024 #indonesia #indonesian #viral #fyp #politik #ganjarpranowo #aniesbaswedan #pinterpolitik https://t.co/QTuDH4qkv1";3;21;19;48;in;1579126996537290752;1729915580780835287;mypresidentid;https://twitter.com/mypresidentid/status/1729915580780835287
Wed Nov 29 16:10:16 +0000 2023;1729895560717705436;"@temanduit Ist oke, semangat #PrabowoGibran2024 Aamiin";0;0;0;0;in;1608276564386488326;1729892767743250839;NoMeycan;https://twitter.com/NoMeycan/status/1729895560717705436
Wed Nov 29 16:07:53 +0000 2023;1729894960676405321;"Ini baru fikiran smart,waktunya #Prabowo2024 konsisten berjuang demi Indonesia emas" Insyaallah jd takdirnya drpd ihtiar no knl pesimis pd qodarullahnya #PrabowoGibran2024  Aamiin";0;0;1;4;in;1608276564386488326;1729894960676405321;NoMeycan;https://twitter.com/NoMeycan/status/1729894960676405321
Wed Nov 29 16:05:05 +0000 2023;1729894255597154595;"Met malam tim GemOY  Time is BOBO  Nomor 2 diCOBLOS ❤✌ #PrabowoGibranMakinDidukung  #PrabowoGibran2024   Kita sih santuy gk usah NGIBUL https://t.co/KLuaagUKIq";0;1;6;19;in;1435248224634241030;1729894255597154595;PS_presiden2024;https://twitter.com/PS_presiden2024/status/1729894255597154595
Wed Nov 29 15:57:56 +0000 2023;1729892458841116784;"Donasi kepada rakyat kamaro di mimika sebsar 5M 😱😱😱  Info selengkapnya 👇👇👇 https://t.co/lxrfFO3mVG  #Patriotprabowo #prabowosangperekat #prabowosatria #prabowo #prabowogibran2024 #freepalestine";0;0;0;0;in;966476064573837312;1729892458841116784;bangbroo__;https://twitter.com/bangbroo__/status/1729892458841116784
Wed Nov 29 15:57:07 +0000 2023;1729892251550298432;"Ini buat yg penasaran sama silsilah keluarganya pak prabowo subianto Selengkapnya bisa klik 👇  https://t.co/28wxa34jUA  #Patriotprabowo #prabowosangperekat #prabowosatria #prabowo #prabowogibran2024 #freepalestine";0;0;0;0;in;966476064573837312;1729892251550298432;bangbroo__;https://twitter.com/bangbroo__/status/1729892251550298432
