created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Nov 28 23:18:19 +0000 2023;1729640896155590762;"Antara Gimmick dan Gagasan dalam meraih dukungan. #PrabowoGibran2024 #PrabowoGibranIstimewa https://t.co/zATh2pVu4P";4;38;26;55;in;1459675385134608390;1729640896155590762;djalanjoeang08;https://twitter.com/djalanjoeang08/status/1729640896155590762
Tue Nov 28 22:30:36 +0000 2023;1729628890031886564;"Pemilihan umum telah memanggil kita ...Mari menangkan pasangan Prabowo-Gibran untuk masa depan Gemilang Indonesia Maju  14-Febuari 2024 Jangan lupa Coblos No.02 Salam✌️✌️🫰 #PrabowoGibran2024 https://t.co/5WgpHSV9xI";22;597;57;310;in;1227499861580251136;1729628890031886564;Lembayung071;https://twitter.com/Lembayung071/status/1729628890031886564
Tue Nov 28 22:01:20 +0000 2023;1729621520946004078;"Selamat pagi, wilujeng enjing seluruh warga Indonesia yang berharap kondisi kehidupan yang lebih baik lagi... . . Saya masih #PrabowoGibranIstimewa  #PrabowoGibran2024  🫰✌️❤️🇮🇩😍🙏 https://t.co/7ZSNJKXuUw";0;0;0;3;in;714965442;1729621520946004078;ariefbudiawan7;https://twitter.com/ariefbudiawan7/status/1729621520946004078
Tue Nov 28 21:57:53 +0000 2023;1729620653194846588;"Komitmen pasangan calon presiden dan calon wakil presiden nomor 2 akan menjalankan ketentuan pemilu dengan sebaik-baiknya. Kami hanya ingin suara rakyat yang menentukan dan suara rakyat yang menang. #prabowo #gibran #indonesiamaju #PrabowoGibran2024 https://t.co/WTHB25qErQ";0;0;0;0;in;1517341350341283840;1729620653194846588;billytampi2;https://twitter.com/billytampi2/status/1729620653194846588
Tue Nov 28 20:36:22 +0000 2023;1729600141034725630;"🙈🙈 Masalah Kesehatan di Indonesia itu AKSES GRATIS Orang Sakit ke Faskes yg Belum Semua.   Jadi Solusi Bangun Faskes itu TIDAK TEPAT. 🤣  #PrabowoGibran2024 Berobat Gratis utk SELURUH WARGA INDONESIA dimanapun2️⃣✌️👍👍";0;0;0;0;in;811842890200551425;1729600141034725630;dov_Now;https://twitter.com/dov_Now/status/1729600141034725630
Tue Nov 28 18:19:22 +0000 2023;1729565662354305103;"Orang ruwet kiyeu masih kena di puja puji   #PrabowoGibran2024 wae https://t.co/pyTO5P0sBg";2;5;6;13;in;1347158496278581248;1729565662354305103;ujangdahmid;https://twitter.com/ujangdahmid/status/1729565662354305103
Tue Nov 28 17:30:22 +0000 2023;1729553333784854640;"KABAR GEMBIRA   Ratusan Kader dan Simpatisan PDIP Mataraman Dukung Prabowo-Gibran  #PrabowoGibran2024 https://t.co/lSJAlfWJel https://t.co/oE1xVdPSy1";2;2;6;6;in;576755999;1729553333784854640;bengkeldodo;https://twitter.com/bengkeldodo/status/1729553333784854640
Tue Nov 28 17:22:25 +0000 2023;1729551331692564978;"Kami mengurangi cuitan bernada politik sebab Prabowo-Gibran udah solid.  Cek fakta di lapangan, semua sepakat #PrabowoGibran2024";1;3;5;21;in;227961909;1729551331692564978;mbah_mijan;https://twitter.com/mbah_mijan/status/1729551331692564978
Tue Nov 28 16:56:25 +0000 2023;1729544789820137503;"Masih ada aja ya di era yang sudah maju ini menyebarkan hoaks dan fitnah. Yuk jadi pendukung yang bijak dan cerdas  #prabowosubianto #GibranRakabuming #prabowopresiden #PrabowoGibran2024 #indonesia #indonesian #viral #fyp #politik #ganjarpranowo #aniesbaswedan #pinterpolitik https://t.co/XDajpc1lat";0;1;9;19;in;1579126996537290752;1729544789820137503;mypresidentid;https://twitter.com/mypresidentid/status/1729544789820137503
Tue Nov 28 15:15:38 +0000 2023;1729519423701336515;"Anak muda lebih baik dukung yang pasti akan sih misalnya pak Prabowo karena udah jelas banget semua ciri-ciri pemimpin hebat ada di pak Prabowo #PrabowoGibran2024";0;0;0;0;in;2388963246;1729519423701336515;Gojokaisen86;https://twitter.com/Gojokaisen86/status/1729519423701336515
Tue Nov 28 15:14:12 +0000 2023;1729519065415426295;"Komitmen pasangan Prabowo-Gibran terkait pemilu.  Videonya ada di rep ya  #prabowosubianto #GibranRakabuming #prabowopresiden #PrabowoGibran2024 #indonesia #indonesian #viral #fyp #politik #ganjarpranowo #aniesbaswedan #pinterpolitik https://t.co/VccK814Py9";0;3;7;11;in;1579126996537290752;1729519065415426295;mypresidentid;https://twitter.com/mypresidentid/status/1729519065415426295
Tue Nov 28 15:08:00 +0000 2023;1729517505532817628;"@Bank_Joee_ @99propaganda Mantul  #PrabowoGibran2024";0;0;0;1;in;1667056879376429061;1729513241737380263;wlian76;https://twitter.com/wlian76/status/1729517505532817628
Tue Nov 28 14:57:57 +0000 2023;1729514973825802645;"Rapatkan Barisan Menangkan Prabowo-Gibran  Salam ✌️✌️✌️🫰 #PrabowoGibran2024 https://t.co/K6iDjkybA0";3;24;16;54;in;1227499861580251136;1729514973825802645;Lembayung071;https://twitter.com/Lembayung071/status/1729514973825802645
Tue Nov 28 14:55:55 +0000 2023;1729514461172580709;"Rapatkan Barisan..... Salam✌️✌️🫰 #PrabowoGibran2024";1;5;4;31;in;1227499861580251136;1729514461172580709;Lembayung071;https://twitter.com/Lembayung071/status/1729514461172580709
Tue Nov 28 14:41:27 +0000 2023;1729510823175819483;"Semakin menghina pak @jokowi Semakin banyak dukungan bahkan banyak yg pndah haluan banting setir belok kanan dukung 😂✌️@prabowo @gibran_tweet  #IndonesiaMaju #PrabowoGibran2024 #PrabowoGibranIstimewa https://t.co/ntIZ4z6rpd";0;0;0;1;in;1716150444035284992;1729510823175819483;adie09033684407;https://twitter.com/adie09033684407/status/1729510823175819483
Tue Nov 28 14:39:51 +0000 2023;1729510421151793161;"Semangat pak Prabowo dan mas gibran, semoga bisa meraup suara lebih dari itu ya #PrabowoGibranIstimewa  #PrabowoGibran  #PrabowoGibran2024  #Allinprabowo";0;0;1;0;in;4153801512;1729510421151793161;mirashahabudin;https://twitter.com/mirashahabudin/status/1729510421151793161
Tue Nov 28 14:37:51 +0000 2023;1729509918275756034;"Bersatu nya Indonesia 🇮🇩  All in .  @prabowo @gibran_tweet .  Menuju Pemilu 2024 .  ✌️ #PrabowoGibran2024 🇮🇩 #LingkarNusantara 🇮🇩 ✌️ https://t.co/cBweFp1BQi";0;0;1;1;in;1717507546037313536;1729509918275756034;_NusantaraLand_;https://twitter.com/_NusantaraLand_/status/1729509918275756034
Tue Nov 28 14:29:47 +0000 2023;1729507884810084658;"@xquitavee @David68159347 Mantul #PrabowoGibran2024  #PrabowoGibranIstimewa";0;0;0;0;in;1667056879376429061;1729493872383053929;wlian76;https://twitter.com/wlian76/status/1729507884810084658
Tue Nov 28 14:27:44 +0000 2023;1729507371183972388;"Setuju AyahBowoGibran Oke kepemimpinan serasi, berdua campuran pemimpin sudah terbukti serta pemimpin muda menciptakan kerjasama tim. #patriotprabowo #prabowosangperekat #prabowosatria #prabowo #prabowopresiden2024 #2024prabowogibran #prabowogibran2024 #Intip #Suaminya #Mali https://t.co/zLLE4I1lbw";0;0;0;0;in;1421943163;1729507371183972388;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1729507371183972388
Tue Nov 28 14:11:56 +0000 2023;1729503396363690103;"@mpoklela7 Tenggelamkan, melalui #PrabowoGibran2024  Oke gas ✌🇮🇩 https://t.co/XZaSQbBz9w";0;5;0;8;in;773236758796394496;1729478228115587085;adri_7i;https://twitter.com/adri_7i/status/1729503396363690103
Tue Nov 28 14:11:51 +0000 2023;1729503372116463765;"Aksi nyata Menhan untuk Kemanusiaan....capres kerja nyata  Salam✌️✌️🫰 #PrabowoGibran2024";0;20;6;25;in;1227499861580251136;1729503372116463765;Lembayung071;https://twitter.com/Lembayung071/status/1729503372116463765
Tue Nov 28 14:02:32 +0000 2023;1729501029715100140;"@ghaur_mang42893 @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Gi_N0ng @ignasbowo @bengkeldodo @Chaves1305 @Kimberley_2024 @P4P4B0W0_2024 #PrabowoGibran2024 energi baru Indonesia";0;0;0;1;in;1189039138835554304;1729471209073791210;BANGSAygSUJUD;https://twitter.com/BANGSAygSUJUD/status/1729501029715100140
Tue Nov 28 13:53:40 +0000 2023;1729498797070238125;"Jubir TKN Prabowo Gibran selalu santun dan santuy menanggapi setiap narasi yang menyerang, termasuk soal tudingan kecurangan-kecurangan. Begini tanggapannya!  #prabowo #prabowosubianto  #gibran #prabowogibran2024 #indonesiamaju #tiktokberita #vivayogamauladi #tknprabowogibran https://t.co/vtPC74u3Q4";1;105;29;166;in;1576913175227748352;1729498797070238125;dekade_08;https://twitter.com/dekade_08/status/1729498797070238125
Tue Nov 28 13:34:06 +0000 2023;1729493872383053929;"Makin gembos aje 😂  Poko nya #PrabowoGibran2024 ✌🇮🇩  Ratusan Kader dan Simpatisan PDIP Mataraman Dukung Prabowo-Gibran https://t.co/4vLitvWtbY";10;208;65;331;in;1604408934525464576;1729493872383053929;xquitavee;https://twitter.com/xquitavee/status/1729493872383053929
Tue Nov 28 13:31:15 +0000 2023;1729493158088921599;"@_NusantaraLand_ @prabowo Tetapi kan kita skrg satu ✌🏼berjuang u Bpk @prabowo  @gibran_tweet 😍✌🏼 #PrabowoGibran2024 menang https://t.co/PeCwOb6VDY";0;1;5;8;in;1695192728173187072;1729468050884501755;drReUtari08;https://twitter.com/drReUtari08/status/1729493158088921599
Tue Nov 28 13:10:10 +0000 2023;1729487848355541102;"Nasib si gemoy ketangkap basah mo nyolong suara #gemoy #GibranRakabuming #PrabowoGibran2024 #PrabowoGemoy 😁😄😃";0;0;0;0;in;1724250628619108352;1729487848355541102;Duosexychefs;https://twitter.com/Duosexychefs/status/1729487848355541102
Tue Nov 28 13:07:19 +0000 2023;1729487132585329055;"#PrabowoGemoy #PrabowoGibran2024 PETUGAS PARTAI LAGI NIH..! KPK Cecar Juliari Batubara Soal dugaan Korupsi Distribusi Beras Bansos https://t.co/cTiAxsh9Za via @BERGELORA.COM";0;0;0;0;in;1284518394880864256;1729487132585329055;bergeloralah;https://twitter.com/bergeloralah/status/1729487132585329055
