created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Dec 15 23:24:49 +0000 2023;1735803124408041779;"@HHHasrulHusain @abu_waras @ridwankamil Serius mau nipu Rakyat dengan kata-kata, inget Mario Teguh nggak, kata-katanya indah tapi dalem nya. Gak dulu deh kalo buat Anis Wedan.  #prabowogemoy  #PrabowoGibran2024";0;0;0;0;in;88581368;1734941036567531957;shohibulmedsos;https://twitter.com/shohibulmedsos/status/1735803124408041779
Fri Dec 15 23:22:19 +0000 2023;1735802497166676206;"Mantapp, bukti kerja nyata dari pak prabowo👍🏻🫰🏻  #PrabowoGibran2024";0;0;0;0;in;1267104960;1735802497166676206;joshyy028;https://twitter.com/joshyy028/status/1735802497166676206
Fri Dec 15 22:36:00 +0000 2023;1735790838758940680;"@tvOneNews Sdh mulai dibawa ke pilkada jakarta 2017 nih. #aniesbonekaNasdem #AniesMuhaimin2024 #PrabowoGibran2024 #prabowogemoy";0;0;0;0;in;187437416;1735613090379796533;budiealtis;https://twitter.com/budiealtis/status/1735790838758940680
Fri Dec 15 21:29:37 +0000 2023;1735774135845036266;"Berikut visi misi pasangan capres-cawapres nomor urut 2  Prabowo Subianto-Gibran Rakabuming Raka.   #PrabowoGibran2024  #MemastikanRasaNyaman VisiPakbowo KeadilanYgPasti #TegasLugasGemoyYes Pakbowo EmangMumpuni https://t.co/c1LoJSb6Xu";0;2;5;9;in;426437287;1735774135845036266;Zero8ok;https://twitter.com/Zero8ok/status/1735774135845036266
Fri Dec 15 20:38:50 +0000 2023;1735761353229640001;"Setelah angin gak punya KTP, sekarang ORDAL🫰🫰☺️ _ Bersama Indonesia Maju 🇮🇩   #PrabowoGibran2024  #MemastikanRasaNyaman VisiPakbowo KeadilanYgPasti #TegasLugasGemoyYes Pakbowo EmangMumpuni https://t.co/ef9OWhkYIX";6;13;6;14;in;426437287;1735761353229640001;Zero8ok;https://twitter.com/Zero8ok/status/1735761353229640001
Fri Dec 15 19:57:41 +0000 2023;1735750998822658309;"Emang boleh se All In ini, kok makin kesini makin keren terus sih dukungannya.  Yuk menangkan Prabowo-Gibran satu putaran! #patriotprabowo #prabowosangperekat #prabowosatria #prabowo #prabowopresiden2024 #prabowogibran2024 #allinprabowo #Marshanda #FajRi #LiaChat Presiden Virtual https://t.co/UTqQkymIWK";0;0;0;0;in;1421943163;1735750998822658309;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1735750998822658309
Fri Dec 15 19:51:38 +0000 2023;1735749476097331237;"Dukung nih, PakbowoIkut MaunyaKita lakukan ketentuan yang lebih tegas dalam kepastian aturan untuk memastikan keberlanjutan kemandirian. #patriotprabowo #prabowosangperekat #prabowosatria #prabowo #prabowopresiden2024 #prabowogibran2024 #allinprabowo #prabowosubianto #Marshanda https://t.co/vHpY7GJLpT";0;0;0;4;in;1421943163;1735749476097331237;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1735749476097331237
Fri Dec 15 19:49:30 +0000 2023;1735748938609889355;"Memang faktanya, Pasti MasBowoGibran Aja itu negarawan yang percaya kesejajaran, bahwa seluruh ras setara tanpa memandang darimana mereka. #patriotprabowo #prabowosangperekat #prabowosatria #prabowo #prabowopresiden2024 #prabowogibran2024 #allinprabowo #prabowosubianto #Marshanda https://t.co/VcOrV0P7s9";0;0;0;0;in;1421943163;1735748938609889355;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1735748938609889355
Fri Dec 15 19:47:18 +0000 2023;1735748385540542810;"Keren banget, gaya bekerja Pasti MasBowoGibran Aja dijalankan dengan etika baik jadinya mendapatkan kepercayaan masyarakat. #patriotprabowo #prabowosangperekat #prabowosatria #prabowo #prabowopresiden2024 #prabowogibran2024 #allinprabowo #prabowosubianto #Marshanda #FajRi Jam 1 https://t.co/Yjv24SEf81";0;0;0;0;in;1421943163;1735748385540542810;RaisaGnesia;https://twitter.com/RaisaGnesia/status/1735748385540542810
Fri Dec 15 19:18:38 +0000 2023;1735741170972758168;"Ready joki tugas Joki essay hukum Joki makalah hukum Joki jurnal hukum Joki skripsi hukum Joki tesis hukum  Silahkan konsultasikan tugasmu via wa. Link tertera di bio kami ya  #Jokiskripsi #jokihukum #jokitugashukum #PrabowoGibran2024";0;0;0;1;in;1533079199203745792;1735741170972758168;Tugashukum_co;https://twitter.com/Tugashukum_co/status/1735741170972758168
Fri Dec 15 18:58:37 +0000 2023;1735736135605948534;"Ada yang tau teman teman ini fossil kayu apa? Soalnya kemarin ada yang bilang ini Fossil White Raja Kayu  #fossil  #fossilkayu  #batuakik  #viralvideo  #viralindonesia  #AniesPresiden2024  #AniesMuhaimin2024  #GanjarMahfud2024  #PrabowoGibran2024 https://t.co/nQJtHLr6s1";0;0;0;1;in;1626916903313887233;1735736135605948534;Hay123418;https://twitter.com/Hay123418/status/1735736135605948534
Fri Dec 15 18:51:45 +0000 2023;1735734406965498037;"Cak Imin, nggak ada standar ya, dari anti FPI dan HTI, sekarang malah nyaris jadi satu kubu, aneh banget @pransoc00l | Tegal | AMIN 2024 Tolol | TOLOL | RSHS | Tegal | | #PrabowoGibran2024 #AniesMuhaimin2024 #JumatBerkah #BingkaiUlamaIndonesiamu https://t.co/UFtQU4q8Ls https://t.co/EWNo0C3oz1";0;0;0;0;in;1725753974119395328;1735734406965498037;ctikakirana;https://twitter.com/ctikakirana/status/1735734406965498037
Fri Dec 15 18:48:52 +0000 2023;1735733678872072645;"Prabowo lebih tegas, Cak Imin malah jadi drama queen politik yang nggak jelas. @peachygloss69  #PrabowoGibran2024 | Tegal | AMIN 2024 Tolol | #AniesMuhaimin2024 TOLOL | RSHS | Tegal | #JumatBerkah | #BingkaiUlamaIndonesiamu https://t.co/fFMUraUmz4 https://t.co/kL2g5QgiNr";0;0;0;0;in;1725737679709745152;1735733678872072645;kiaraakiranaa;https://twitter.com/kiaraakiranaa/status/1735733678872072645
Fri Dec 15 18:46:03 +0000 2023;1735732972349767906;"Cak Imin, mungkin udah lupa ya, dulu ngomong FPI dan HTI ultra kanan, sekarang malah jadi tukang damai @pramestiorp | Tegal | AMIN 2024 Tolol | TOLOL | RSHS | Tegal | | #PrabowoGibran2024 #AniesMuhaimin2024 #JumatBerkah #BingkaiUlamaIndonesiamu https://t.co/Oujj2pWbY8 https://t.co/iOMMX1cXV1";0;0;0;0;in;1725740470427611136;1735732972349767906;bismaawijaya;https://twitter.com/bismaawijaya/status/1735732972349767906
Fri Dec 15 18:43:15 +0000 2023;1735732268814250068;"Cak Imin, dulu sok anti-FPI, sekarang malah jadi ojek payung Rizieq. Kreatif tapi norak! @Peachy_Snoopy_ | Tegal | AMIN 2024 Tolol | TOLOL | RSHS | Tegal | | #PrabowoGibran2024 #AniesMuhaimin2024 #JumatBerkah #BingkaiUlamaIndonesiamu https://t.co/XLGGXWCXXG https://t.co/6TqA3t9ByA";0;0;0;0;in;1725743134838251520;1735732268814250068;mhranihesti;https://twitter.com/mhranihesti/status/1735732268814250068
