Headline;Media;Date;url
"Gabungan Kekayaan Capres-cawapres Anies-Muhaimin, Prabowo-Gibran dan 
Ganjar-Mahfud";Suara.com;15/11/2023;https://www.suara.com/bisnis/2023/11/15/151257/gabungan-kekayaan-capres-cawapres-anies-muhaimin-prabowo-gibran-dan-ganjar-mahfud
Kabaharkam Tak Temukan Fakta Polisi Pasang Baliho ...;Tirto.ID;15/11/2023;https://tirto.id/kabaharkam-tak-temukan-fakta-polisi-pasang-baliho-prabowo-gibran-gShv
"Proritaskan Lapangan Kerja untuk WNI, Prabowo Berencana Perketat WNA di 
Indonesia";Liputan6.com;15/11/2023;https://www.liputan6.com/regional/read/5454295/proritaskan-lapangan-kerja-untuk-wni-prabowo-berencana-perketat-wna-di-indonesia
Pilpres 2024: PDIP Move On Dari Jokowi Sejak Prabowo-Gibran Dideklarasikan;Tribun Mataraman;15/11/2023;https://mataraman.tribunnews.com/2023/11/15/pilpres-2024-pdip-move-on-dari-jokowi-sejak-prabowo-gibran-dideklarasikan
"Sayap Partai Pendukung Prabowo Gibran Dari Kalangan Pemuda Siap Sasar Kaum 
Milenial di Jabar";Metro Jabar;15/11/2023;https://metrojabar.pikiran-rakyat.com/politik/pr-3397363700/sayap-partai-pendukung-prabowo-gibran-dari-kalangan-pemuda-siap-sasar-kaum-milenial-di-jabar
"Nomor Urut Dua Prabowo Gibran, DPC Partai Gerindra Cianjur: Dua itu 
Kemenangan dan Kedamaian - Radar Cianjur";Radar Cianjur;15/11/2023;https://www.radarcianjur.com/cianjur-raya/94510876949/nomor-urut-dua-prabowo-gibran-dpc-partai-gerindra-cianjur-dua-itu-kemenangan-dan-kedamaian
"Cerita Hashim soal Kagetnya Jokowi Saat Prabowo Laporkan Kasus Dugaan 
Korupsi di Kemenhan - Kompas.com";KOMPAS.com;15/11/2023;https://nasional.kompas.com/read/2023/11/15/17362231/cerita-hashim-soal-kagetnya-jokowi-saat-prabowo-laporkan-kasus-dugaan
Pendukung Prabowo-Gibran Gelar Doa Bersama, Relawan ...;Bali Tribune;15/11/2023;https://balitribune.co.id/content/pendukung-prabowo-gibran-gelar-doa-bersama-relawan-sedulur-kaesang-jokowi-ikut-turun
Hashim Bicara Potensi Perang Saudara Jika Prabowo Tak Gabung Jokowi di 2019;detikNews;15/11/2023;https://news.detik.com/pemilu/d-7038940/hashim-bicara-potensi-perang-saudara-jika-prabowo-tak-gabung-jokowi-di-2019
"Masuk TKN Prabowo-Gibran, Anggawira Lepas Jabatan Presiden Komisaris Anak 
Usaha Krakatau Steel";Tribunnews.com;15/11/2023;https://www.tribunnews.com/mata-lokal-memilih/2023/11/15/masuk-tkn-prabowo-gibran-anggawira-lepas-jabatan-presiden-komisaris-anak-usaha-krakatau-steel
