judul_berita;media;tanggal_publikasi
Muzani: Insya Allah Prabowo-Gibran Menang Satu Putaran - Kompas.com;KOMPAS.com;1 minggu lalu
Relawan JARGON Deklarasi Dukung Prabowo-Gibran di Pilpres 2024;detikNews;2 minggu lalu
Peduli Palestina, Alasan Kader dan Simpatisan PKS Jabar ...;Politik;6 hari lalu
Survei ASI: Prabowo-Gibran 34,2%, Ganjar-Mahfud 30,7 ...;20detik;1 hari lalu
TKN Fanta Prabowo-Gibran Gelar Diskusi dan Doa Bersama untuk Palestina;detikNews;4 hari lalu
KSPN Deklarasi Dukung Prabowo-Gibran di Pilpres 2024;detikNews;2 minggu lalu
"Jubir TKN Prabowo-Gibran: Narasi ""Gemoy"" ""Catchy"" untuk Bikin Milenial dan 
Gen Z Melirik - Kompas.com";KOMPAS.com;2 minggu lalu
Kaesang: Kalau Lihat Survei, Prabowo-Gibran Sudah Menang;detikNews;2 minggu lalu
"Sosialisasikan Program-program Prabowo-Gibran, TKN Fanta Gelar Pemeriksaan 
Kesehatan Gratis - Kompas.com";KOMPAS.com;6 hari lalu
TKN Buka Suara soal Prabowo-Gibran Dituding Takut Debat;CNN Indonesia;2 minggu lalu
"Relawan Akan Kenalkan Prabowo-Gibran hingga Pelosok Saat Kampanye - 
Kompas.com";KOMPAS.com;3 minggu lalu
Rahasiakan Hasil Survei, Airlangga Klaim Elektabilitas ...;Kompas.id;1 minggu lalu
Gambaran IKN di Tangan Prabowo-Gibran, Tak Ada Motor & Ruko;CNBC Indonesia;3 minggu lalu
Jika Ketegangan Mega-Jokowi Bukan Rekayasa, Prabowo ...;Politik;2 minggu lalu
Jalan Sehat Prabowo-Gibran Makassar, Panitia Klaim 1,2 Juta Kupon Terbagikan;Detik;2 minggu lalu
Dukungan Perangkat Desa ke Prabowo-Gibran Dinilai Tidak ...;Kompas.id;3 minggu lalu
"Begini Tanggapan TKN Prabowo-Gibran soal Anies Sebut IKN Hanya Untungkan 
Aparatur Negara";Nasional tempo;3 hari lalu
SBY Turun Gunung, Perintahkan Kader Demokrat Menangkan ...;KOMPAS.com;2 minggu lalu
TPN Ganjar-Mahfud Sindir Prabowo-Gibran: Dua Minggu ...;Politik;3 hari lalu
"Ketua TKD Sebut Prabowo-Gibran Punya Peluang Menang di DKI jika Berkaca 
pada 2019 - Kompas.com";KOMPAS.com;6 hari lalu
Foto di Surat Suara, Prabowo-Gibran Kompak Berkemeja Biru Muda;CNN Indonesia;2 minggu lalu
PAN Jawab Sandiaga: Prabowo-Gibran Model Digital Leadership 4.0 Jokowi;detikNews;4 hari lalu
